OBJECTID,Zip9,NewPOD,NewMTS,ChangeDate,Description,Zip9_1,Zip5,RecType,Name
138,847161450,9002,9002,1/1/2006 0:28:31,Boulder,847161450,84716,P,PO BOX
139,847161451,9002,9002,1/1/2006 0:28:31,Boulder,847161451,84716,P,PO BOX
140,847161452,9002,9002,1/1/2006 0:28:31,Boulder,847161452,84716,P,PO BOX
141,847161453,9002,9002,1/1/2006 0:28:31,Boulder,847161453,84716,P,PO BOX
142,847161454,9002,9002,1/1/2006 0:28:31,Boulder,847161454,84716,P,PO BOX
143,847161455,9002,9002,1/1/2006 0:28:31,Boulder,847161455,84716,P,PO BOX
144,847161456,9002,9002,1/1/2006 0:28:31,Boulder,847161456,84716,P,PO BOX
145,847161461,9002,9002,1/1/2006 0:28:31,Boulder,847161461,84716,P,PO BOX
146,847161462,9002,9002,1/1/2006 0:28:31,Boulder,847161462,84716,P,PO BOX
147,847161463,9002,9002,1/1/2006 0:28:31,Boulder,847161463,84716,P,PO BOX
148,847161464,9002,9002,1/1/2006 0:28:31,Boulder,847161464,84716,P,PO BOX
149,847161465,9002,9002,1/1/2006 0:28:31,Boulder,847161465,84716,P,PO BOX
150,847161466,9002,9002,1/1/2006 0:28:31,Boulder,847161466,84716,P,PO BOX
151,847161467,9002,9002,1/1/2006 0:28:31,Boulder,847161467,84716,P,PO BOX
152,847161468,9002,9002,1/1/2006 0:28:31,Boulder,847161468,84716,P,PO BOX
153,847161469,9002,9002,1/1/2006 0:28:31,Boulder,847161469,84716,P,PO BOX
154,847161470,9002,9002,1/1/2006 0:28:31,Boulder,847161470,84716,P,PO BOX
155,847161471,9002,9002,1/1/2006 0:28:31,Boulder,847161471,84716,P,PO BOX
156,847161472,9002,9002,1/1/2006 0:28:31,Boulder,847161472,84716,P,PO BOX
157,847161473,9002,9002,1/1/2006 0:28:31,Boulder,847161473,84716,P,PO BOX
158,847161474,9002,9002,1/1/2006 0:28:31,Boulder,847161474,84716,P,PO BOX
159,847161475,9002,9002,1/1/2006 0:28:31,Boulder,847161475,84716,P,PO BOX
160,847161476,9002,9002,1/1/2006 0:28:31,Boulder,847161476,84716,P,PO BOX
161,847161477,9002,9002,1/1/2006 0:28:31,Boulder,847161477,84716,P,PO BOX
162,847161478,9002,9002,1/1/2006 0:28:31,Boulder,847161478,84716,P,PO BOX
163,847161479,9002,9002,1/1/2006 0:28:31,Boulder,847161479,84716,P,PO BOX
164,847161480,9002,9002,1/1/2006 0:28:31,Boulder,847161480,84716,P,PO BOX
165,847161481,9002,9002,1/1/2006 0:28:31,Boulder,847161481,84716,P,PO BOX
166,847161482,9002,9002,1/1/2006 0:28:31,Boulder,847161482,84716,P,PO BOX
167,847161483,9002,9002,1/1/2006 0:28:31,Boulder,847161483,84716,P,PO BOX
168,847161484,9002,9002,1/1/2006 0:28:31,Boulder,847161484,84716,P,PO BOX
169,847161485,9002,9002,1/1/2006 0:28:31,Boulder,847161485,84716,P,PO BOX
170,847161486,9002,9002,1/1/2006 0:28:31,Boulder,847161486,84716,P,PO BOX
171,847161487,9002,9002,1/1/2006 0:28:31,Boulder,847161487,84716,P,PO BOX
172,847161488,9002,9002,1/1/2006 0:28:31,Boulder,847161488,84716,P,PO BOX
173,847161489,9002,9002,1/1/2006 0:28:31,Boulder,847161489,84716,P,PO BOX
174,847161490,9002,9002,1/1/2006 0:28:31,Boulder,847161490,84716,P,PO BOX
175,847161491,9002,9002,1/1/2006 0:28:31,Boulder,847161491,84716,P,PO BOX
176,847161492,9002,9002,1/1/2006 0:28:31,Boulder,847161492,84716,P,PO BOX
177,847161493,9002,9002,1/1/2006 0:28:31,Boulder,847161493,84716,P,PO BOX
178,847161494,9002,9002,1/1/2006 0:28:31,Boulder,847161494,84716,P,PO BOX
179,847161495,9002,9002,1/1/2006 0:28:31,Boulder,847161495,84716,P,PO BOX
180,847161496,9002,9002,1/1/2006 0:28:31,Boulder,847161496,84716,P,PO BOX
181,847161497,9002,9002,1/1/2006 0:28:31,Boulder,847161497,84716,P,PO BOX
182,847161498,9002,9002,1/1/2006 0:28:31,Boulder,847161498,84716,P,PO BOX
183,847161499,9002,9002,1/1/2006 0:28:31,Boulder,847161499,84716,P,PO BOX
184,847161500,9002,9002,1/1/1980 0:00:00,Boulder,847161500,84716,P,PO BOX
185,847161501,9002,9002,1/1/1980 0:00:00,Boulder,847161501,84716,P,PO BOX
186,847161502,9002,9002,1/1/1980 0:00:00,Boulder,847161502,84716,P,PO BOX
187,847161503,9002,9002,1/1/1980 0:00:00,Boulder,847161503,84716,P,PO BOX
188,847161504,9002,9002,1/1/1980 0:00:00,Boulder,847161504,84716,P,PO BOX
189,847161505,9002,9002,1/1/1980 0:00:00,Boulder,847161505,84716,P,PO BOX
190,847161506,9002,9002,1/1/1980 0:00:00,Boulder,847161506,84716,P,PO BOX
191,847161507,9002,9002,1/1/1980 0:00:00,Boulder,847161507,84716,P,PO BOX
192,847161508,9002,9002,1/1/1980 0:00:00,Boulder,847161508,84716,P,PO BOX
193,847161509,9002,9002,1/1/1980 0:00:00,Boulder,847161509,84716,P,PO BOX
194,847161510,9002,9002,1/1/1980 0:00:00,Boulder,847161510,84716,P,PO BOX
195,847161511,9002,9002,1/1/1980 0:00:00,Boulder,847161511,84716,P,PO BOX
196,847161512,9002,9002,1/1/1980 0:00:00,Boulder,847161512,84716,P,PO BOX
197,847161513,9002,9002,1/1/1980 0:00:00,Boulder,847161513,84716,P,PO BOX
198,847161514,9002,9002,1/1/1980 0:00:00,Boulder,847161514,84716,P,PO BOX
199,847161515,9002,9002,1/1/1980 0:00:00,Boulder,847161515,84716,P,PO BOX
200,847161516,9002,9002,1/1/1980 0:00:00,Boulder,847161516,84716,P,PO BOX
201,847161517,9002,9002,1/1/1980 0:00:00,Boulder,847161517,84716,P,PO BOX
202,847161518,9002,9002,1/1/1980 0:00:00,Boulder,847161518,84716,P,PO BOX
203,847161519,9002,9002,1/1/1980 0:00:00,Boulder,847161519,84716,P,PO BOX
204,847161520,9002,9002,1/1/1980 0:00:00,Boulder,847161520,84716,P,PO BOX
206,847169998,9002,9002,1/1/1980 0:00:00,Boulder,847169998,84716,P,PO BOX
207,840928000,18003,18003,1/1/1980 0:00:00,Alta,840928000,84092,P,PO BOX
